"TRACT","NPO_SECTOR","NPOS"
1,"AR",3
5.01,"AR",1
9,"AR",1
10,"AR",2
16,"AR",3
18,"AR",1
24,"AR",1
29.01,"AR",1
30,"AR",5
32,"AR",18
34,"AR",4
35,"AR",5
43.02,"AR",6
44,"AR",1
45,"AR",5
46,"AR",3
50,"AR",1
54,"AR",1
55,"AR",1
56.02,"AR",1
61.01,"AR",1
61.03,"AR",4
43.02,"BH",1
55,"BH",1
1,"ED",3
2,"ED",1
5.01,"ED",1
9,"ED",1
10,"ED",2
16,"ED",5
17.02,"ED",3
18,"ED",1
21.01,"ED",1
23,"ED",2
29.01,"ED",2
30,"ED",2
32,"ED",8
34,"ED",2
35,"ED",5
38,"ED",2
42,"ED",1
43.01,"ED",3
43.02,"ED",11
46,"ED",8
48,"ED",1
54,"ED",1
56.01,"ED",1
57,"ED",4
60,"ED",1
1,"EH",1
23,"EH",2
32,"EH",1
36.01,"EH",1
43.01,"EH",1
1,"EN",4
4,"EN",1
29.01,"EN",2
30,"EN",1
32,"EN",3
34,"EN",1
35,"EN",3
36.01,"EN",2
39,"EN",2
46,"EN",1
49,"EN",1
60,"EN",1
1,"HE",5
3,"HE",1
10,"HE",2
16,"HE",7
19,"HE",1
20,"HE",1
21.01,"HE",6
23,"HE",7
30,"HE",2
32,"HE",8
34,"HE",1
42,"HE",4
43.01,"HE",12
43.02,"HE",3
46,"HE",4
51,"HE",1
59,"HE",1
61.01,"HE",9
61.02,"HE",1
1,"HU",8
2,"HU",1
3,"HU",1
4,"HU",4
5.01,"HU",2
6,"HU",1
8,"HU",1
9,"HU",3
10,"HU",3
15,"HU",1
16,"HU",63
17.02,"HU",1
19,"HU",2
20,"HU",1
21.01,"HU",4
23,"HU",1
24,"HU",1
27,"HU",1
29.01,"HU",5
30,"HU",1
32,"HU",25
34,"HU",3
35,"HU",11
36.01,"HU",3
36.02,"HU",1
38,"HU",6
39,"HU",2
40,"HU",3
42,"HU",7
43.01,"HU",1
43.02,"HU",4
45,"HU",3
46,"HU",7
49,"HU",1
50,"HU",2
52,"HU",4
53,"HU",3
54,"HU",1
56.01,"HU",1
56.02,"HU",1
57,"HU",2
59,"HU",1
60,"HU",2
61.01,"HU",15
61.03,"HU",3
10,"IN",1
16,"IN",2
32,"IN",1
35,"IN",3
43.02,"IN",1
32,"MU",1
61.01,"MU",1
1,"PU",6
9,"PU",1
10,"PU",2
16,"PU",9
17.02,"PU",1
18,"PU",1
19,"PU",1
21.01,"PU",2
23,"PU",4
24,"PU",1
29.01,"PU",2
30,"PU",1
32,"PU",29
34,"PU",2
35,"PU",4
36.01,"PU",1
36.02,"PU",1
39,"PU",1
42,"PU",2
43.01,"PU",4
43.02,"PU",8
44,"PU",2
45,"PU",3
46,"PU",2
50,"PU",3
51,"PU",1
53,"PU",2
54,"PU",4
57,"PU",1
60,"PU",1
61.01,"PU",1
61.03,"PU",4
1,"RE",1
2,"RE",1
4,"RE",1
5.01,"RE",1
8,"RE",1
16,"RE",5
21.01,"RE",1
32,"RE",3
34,"RE",1
38,"RE",1
40,"RE",1
43.02,"RE",1
46,"RE",2
50,"RE",2
52,"RE",1
53,"RE",1
55,"RE",1
56.01,"RE",1
58,"RE",1
61.01,"RE",1
61.03,"RE",3
