"TRACT","LIBRARY","YEAR"
"1",0,2017
"10",0,2017
"14",1,2017
"15",0,2017
"16",0,2017
"17.01",0,2017
"17.02",0,2017
"18",0,2017
"19",1,2017
"2",0,2017
"20",1,2017
"21.01",0,2017
"23",0,2017
"24",0,2017
"27",0,2017
"29.01",0,2017
"3",0,2017
"30",0,2017
"32",1,2017
"34",0,2017
"35",0,2017
"36.01",0,2017
"36.02",1,2017
"38",1,2017
"39",0,2017
"4",0,2017
"40",0,2017
"42",0,2017
"43.01",0,2017
"43.02",0,2017
"44",0,2017
"45",1,2017
"46",0,2017
"48",0,2017
"49",0,2017
"5.01",0,2017
"50",0,2017
"51",0,2017
"52",0,2017
"53",0,2017
"54",1,2017
"55",0,2017
"56.01",0,2017
"56.02",0,2017
"57",0,2017
"58",0,2017
"59",0,2017
"6",0,2017
"60",0,2017
"61.01",0,2017
"61.02",0,2017
"61.03",1,2017
"7",0,2017
"8",0,2017
"9",0,2017
"Null",0,2017
