"GEOID10","GROCERY2015"
"36067000100",0
"36067000200",0
"36067000300",0
"36067000400",0
"36067000501",0
"36067000600",0
"36067000700",1
"36067000800",0
"36067000900",0
"36067001000",0
"36067001400",0
"36067001500",0
"36067001600",0
"36067001701",0
"36067001702",0
"36067001800",0
"36067001900",0
"36067002000",0
"36067002101",0
"36067002300",1
"36067002400",1
"36067002700",0
"36067002901",1
"36067003000",0
"36067003200",0
"36067003400",0
"36067003500",1
"36067003601",1
"36067003602",1
"36067003800",0
"36067003900",0
"36067004000",1
"36067004200",0
"36067004301",0
"36067004302",0
"36067004400",0
"36067004500",1
"36067004600",0
"36067004800",1
"36067004900",0
"36067005000",0
"36067005100",0
"36067005200",0
"36067005300",0
"36067005400",0
"36067005500",0
"36067005601",0
"36067005602",0
"36067005700",0
"36067005800",0
"36067005900",0
"36067006000",0
"36067006101",1
"36067006102",0
"36067006103",0
