"GEOID10","NPOS_ACROSS_YEARS"
"36067000100",31
"36067000200",3
"36067000300",2
"36067000400",6
"36067000501",5
"36067000600",1
"36067000800",2
"36067000900",6
"36067001000",12
"36067001500",1
"36067001600",94
"36067001702",5
"36067001800",3
"36067001900",4
"36067002000",2
"36067002101",14
"36067002300",16
"36067002400",3
"36067002700",1
"36067002901",12
"36067003000",12
"36067003200",97
"36067003400",14
"36067003500",31
"36067003601",7
"36067003602",2
"36067003800",9
"36067003900",5
"36067004000",4
"36067004200",14
"36067004301",21
"36067004302",35
"36067004400",3
"36067004500",11
"36067004600",27
"36067004800",1
"36067004900",2
"36067005000",8
"36067005100",2
"36067005200",5
"36067005300",6
"36067005400",7
"36067005500",3
"36067005601",3
"36067005602",2
"36067005700",7
"36067005800",1
"36067005900",2
"36067006000",5
"36067006101",28
"36067006102",1
"36067006103",14
